Model_application_category,Definition,Model_application_subcategory,Purpose_problem_to solve,How_predictions_inform_decisions,How_uncertainty_influence_decisions,Explanation (Hypothesis testing),Predictions (spatially explicit),Projection (Extrapolation),Predictions (Non-spatially explicit),Spatial_extent,Landscape_representation,Taxonomic_level,Omission_errors,Commission_errors,What_practitioners_want,Reference_example
Spatial prioritization,The process of identifying and ranking specific geographic areas for action to achieve the greatest conservation impact with limited resources,Land-use planning,"""The primary issue land-use planning attempts to solve is the allocation of a finite resources (space, financial, time) among competing demands, prioritizing biodiversity conservation.""","Model predictions tell planners where the highest-value habitats are., ""Evaluating Alternative Future Scenarios (""""What-If"""" scenarios). Model predicitons can be used to quantify the ecological cost of each proposed zoning plan, allowing mutiple users to make transparent choices."", ""Predictive models help multiple users to mathematically identify which areas might offer the highest """"return on investment"""" for species, communities or biodiversity in general.""","""If the model has high commission errors (overpredicting habitat), it will affect potential areas for other uses and/or waist limited resources in areas of low value for conservation"", ""If the model has high omission errors (missing actual habitat), it will potentially missed the opoortunity to protect last habitat for the species (more sensitive to those rare or range-restricted species).""",1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Binary,"Single species, Taxonomic group, Biodiversity",Very high,Moderate,"Practitioners want to avoid searching for land or approving programs or implementing actions in areas where the predicted benefit or suitability doesn't actually exist, ""If practitioners omit a sensitive ecosystem or remaining habitat for species at risk, that habitat may be permanently lost by human activities""",<a href='https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/j.1523-1739.2003.00233.x' target='_blank'>Loiselle et al. (2003)</a>
Spatial prioritization,The process of identifying and ranking specific geographic areas for action to achieve the greatest conservation impact with limited resources,Protected area planning/design,Inappropriate habitat protection leads to higher extinction vulnerabilities.,Identifying potential areas of high suitability aimed to protect species at risk,"""Uncertain suitable environments may lead to suboptimal reserve selection (e.g., erros of commision).""",0,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Binary,"Single species, Taxonomic group, Biodiversity",High,Very high,"This can result in the misallocation of limited economic resources and conservation efforts towards low-value regions., Practitioners want to minimize omission errors to ensure the protected area harbor all habitats that are vital for the survival of the species.",Di Marco et al. (2016); Velazco et al. (2020); Titeux et al. (2019)
Habitat evaluation,"Habitat evaluation is the systematic, quantitative assessment of a landscape’s capacity to support a specific species or ecological community.
Habitat evaluation focuses on the quality, configuration, and risk associated with the species landscape.",Improving habitat connectivity and reducing fragmentation,,,,1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Continuos,Single species,Very high,Moderate,"Practitioners want to minimize omissions to ensure that every viable pathway is considered. Fail to identify link between critical patches might compromise habitat connectivity for the species., Practitioners want to strictly reduce commission errors to ensure that the corridors they invest in are truly functional.",
Habitat evaluation,"Habitat evaluation is the systematic, quantitative assessment of a landscape’s capacity to support a specific species or ecological community.
Habitat evaluation focuses on the quality, configuration, and risk associated with the species landscape.",Impact assessment,,,,1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Binary,Single species,Very high,High,"""Practitioners want a precautionary approach. They want to ensure that no """"adverse effect"""" is missed, even if the probability is low."", Practitioners want to avoid being forced to solve irrelevant issues that divert funds away from real environmental protection.",Dias et al. (2025); Baker et al. (2020)
Habitat evaluation,"Habitat evaluation is the systematic, quantitative assessment of a landscape’s capacity to support a specific species or ecological community.
Habitat evaluation focuses on the quality, configuration, and risk associated with the species landscape.",Identifying critical habitats,,,,1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Binary,Single species,Very high,Moderate,"""Users prioritize the Critical Avoidance of omission errors to prevent extinction, while maintaining High Avoidance of commission errors to ensure the designation is legally and scientifically defensible.""",
Habitat evaluation,"Habitat evaluation is the systematic, quantitative assessment of a landscape’s capacity to support a specific species or ecological community.
Habitat evaluation focuses on the quality, configuration, and risk associated with the species landscape.",Protected area assessment,,,,1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Continuos,Single species,Moderate,High,The priorities center on identifying failures in the current system and ensuring that future management decisions are based on biological reality rather than paper protections.,Sundlad et al. (2010); Sousa et al. (2014); Syfert et al. (2014)
Habitat evaluation,"Habitat evaluation is the systematic, quantitative assessment of a landscape’s capacity to support a specific species or ecological community.
Habitat evaluation focuses on the quality, configuration, and risk associated with the species landscape.",Extinction risk,,,,1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Continuos,Single species,Very high,Moderate,"""Users prioritize the Critical Avoidance of omission errors to ensure no """"silent extinctions"""" occur. The species may reach a """"point of no return"""" (an extinction vortex) before anyone realizes the model was wrong.""",Zurell et al. (2023)
Habitat evaluation,"Habitat evaluation is the systematic, quantitative assessment of a landscape’s capacity to support a specific species or ecological community.
Habitat evaluation focuses on the quality, configuration, and risk associated with the species landscape.",Habitat loss/gain,,,,1,1,1,1,"Global, Range-wide, Jurisdictional, Spatial management unit",Binary,Single species,Moderate,Very high,"""High Avoidance is prioritized for both types of errors in this specific use case. Errors in these models can lead to a """"false sense of progress"""" (unrealized gains) or """"hidden destruction"""" (unseen losses), both of which undermine conservation reporting and land management.""",Paterson et al. (2024); Carvajal et al. (2018)
Sampling,Sampling is an iterative cycle where existing model predictions actively dictate where field biologists should go next to gather the most valuable data.,Sampling prioritization,,,,0,1,1,1,"Range-wide, Jurisdictional, Spatial management unit",Binary,Single species,Low,Very high,"""Users want to minimize omission errors to ensure the model doesn't """"hide"""" potential discovery sites.""",Andrella et al. (2023); Eyre et al. (2022)
Sampling,Sampling is an iterative cycle where existing model predictions actively dictate where field biologists should go next to gather the most valuable data.,Identifying species data gaps,,,,0,1,0,1,"Range-wide, Jurisdictional, Spatial management unit",Continuos,Single species,Very high,Moderate,"""Users want to minimize omissions to ensure that """"surprising"""" populations are not ignored.""",Lyons et al. (2020); Srivastava et. (2019); Gallien et al. (2012)
