Key_stages,Model_step,Criterion,Author_reference,Issue(Araujo)/Hazard(Soley),Assumption_Description,Assumption_relative_importance,Violation_of_Assumptions,Effects_Category,Effects_Subcategory,Omission_errors,Commission_errors,Potential_Solutions,Explanation (Hypothesis testing),Predictions (Spatially explicit),Projection (Extrapolation),Predictions (Non-spatially explicit),Questions_Evaluation_Tool,Questions_General
Foundational,General,Species-environment equilibrium,,,"SDMs often assume that species are in equilibrium (or quasi-equilibrium) with their environment in their native range. That is, suitable habitat is fully occupied or saturated (e.g. Gallien et al. 2012, Zurell et al. 2024).",Fundamental assumptions (High),"This assumption can be violated for several reasons. For instance, the native range of the species can be restricted by biotic interactions (e.g. competition, predation, disturbances, etc.) (Richmond et al. 2010). There is also increasing evidence that range-shifting species are lagging behind their climatically suitable habitat (Svenning et al. 2008), leading to suitable habitat not yet colonised (“colonisation credit”) .... Zurell et al. 2023, see also Thuiller et al. 2019, Foden et al 2007; Foster et al. 2022). ","Accuracy, Precision, Overpredictions, Undepredictions","Commission errors, Omission errors, Potentially misrepresenting species distributions, Underprediciton of potential regions of suitability, Overstimate range expansion, Understimate range expansion",Very high,High,"Use historical range information for model training., Develop a dispersal model to best estimate the species potential distribution (Merow et al. 2016)., Include species' ecological traits in SDMs (Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022)., Acknowledge modelers were unable to address this assumption., Can we use disequilibrium indicators (e.g. filled vs. unfilled regional niches) to predict a species' future spread or adaptation potential?., ""Use models that incorporate biological processes (e.g. thermal limits, energetics) rather than just statistical correlations, as these better capture real-world limitations beyond simple climate."", ""Add functions relating occurrence likelihood to distance from known locations to account for dispersal limitations and mass effects, improving niche models."", Implement Nested SDMs (N-SDMs; Guisan et al. 2025).",1,1,1,0,,"""Does the species' observed range reflect its true potential (realized niche) or is lagging due to dispersal, time lags, or biotic interactions?"", ""How does the equilibrium status differ for invasive species (rapid spread, niche filling) versus native species, and how does this affect risk assessment?"""
Foundational,General,Niche stability,,,"SDMs typically assume that species maintain their ecological niche (the set of environmental conditions they require to thrive) across space and time. That is, ""Ecological niche models also assume niche conservatism"" (Wiens et al. 2009, Gallien et al. 2012).",Fundamental assumptions (High),"This assumption can be violated for several reasons. For instance, evolutionary or behavioral adaptation to environmental conditions. New ecological relationships in introduce range. ""Short-generation species are capable of rapid evolutionary change (Franks et al. 2007)."" (Wiens et al. 2009, see also (Root et al. 2003).","Accuracy, Overpredictions, Undepredictions","Reduced model transferability, Biased estimates of range dynamics, Failure to capture rapid adaptation",Very high,High,"Shorten timescale of analysis., Acknowledge modelers were unable to address this assumption.",1,1,1,0,,"""Is the niche truly static, or can it evolve or shift?"""
Foundational,General,No dispersal limitation,,,SDMs assummes that species occur at all locations where habitat is suitable and can readily move to new suitable areas if they are available (e.g.  Jeschke & Strayer 2008). SDMs implicitly assume that species have had enough time to disperse to all suitable habitats within the study area and are at equilibrium with their environment (no dispersal limitation). This is a convenience assumption used to simplify the modeling process.,Modulating assumptions (Low),Modelers usually consider two extreme scenarios: full dispersal scenarios vs. no-dispersal scenarios. See also Zurell et al. 2023),"Accuracy, Overpredictions","Over-prediction of a species' potential range, Overestimation of suitable habitat, Reduced model transferability, Understimate range contraction",Low,Low,"Incorporating distance constraints into species distribution models (Allouche et al. 2008)., ""More advanced, mechanistic, or dynamic SDMs (D-SDMs) often incorporate dispersal as a key variable to simulate how species ranges might expand or shift over time, especially in response to climate change (e.g.  Shipley et al. 2021; Zurell 2017; Evans et al 2015)."", ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""",1,1,0,0,,"Is the species' distribution potentially limited by dispersal?, Can incorporating distance or connectivity constraints improve model predictions?, What is the relative importance of dispersal versus environmental factors in shaping distributions at different spatial scales?"
Foundational,General,Biotic interactions,Soley-Guardia et al. (2024),,"""It is usually assume that biotic interations only introduce statistical ""noise"" and don't cause significant biases in the species' distribution within the study area."" (Soley-Guardia et al. 2024). . See also for Biotic importance (Araújo & Luoto 2007; Fern et al 2019) and species interactions (Suttle et al. 2007, Poggiato et al. 2025). See also Co-occurrence is not evidence of ecological interactions (Blanchet et al. 2020) and others (Jeschke & Strayer 2008).",Modulating assumptions (Low),"This assumption can be violated for several reasons. For instance, there could be a prominent role for species interactions in ecosystem response to climate change. ""The influence of biotic interactions on species distributions is still debated, and potential inaccuracies in data sources (e.g. metawebs, environmental covariates) could mean that including prey as additional predictors may not always enhance predictions and may sometimes degrade them."" (Poggiato et al. 2025; Godsoe & Harmon 2012)","Accuracy, Overpredictions","Inability to capture the true mechanisms driving species distributions, Potentially reduce model performance",Moderate,Moderate,"Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption.",1,1,0,1,To what degree are you concerned about how well important biological assumptions are explained and justified?,"How do biotic factors might affect species distribution and abundances?, Is it acceptable to ignore biotic interactions ath the scale of the analysis?, Do biotic factors improve model performance?, ""Which types of interactions matter most?  Should models prioritize negative interactions like competition or predation, or positive ones like mutualism?"""
Foundational,General,Species genotype & phenotype,,,"SDMs usually assumes that genetic and phenotypic composition of species is constant over space and time."" (Jeschke & Strayer 2008).",Modulating assumptions (Low),"This assumption can be violated for several reasons. For instance, genetic or phenotypic changes might occur when species confront new environmental conditions. Evolutionary change does happen and sometimes even relatively fast. (Jeschke & Strayer 2008). Se also Fitzpatrick & Keller (2014), Kebede et al. (2021), Hällfors et al. (2015).","Accuracy, Overpredictions, Undepredictions","Misidentification of key environmental drivers, Ignoring the potential for adaptation, Incorrect range predicitions",Low,Low,"Use trait data sets as a proxy of population phenotypic differentiation (Kebede et al. 2021; Chardon et al. 2019)., Acknowledge modelers were unable to address this assumption.",1,1,0,1,,"Do SDMs accurately capture local adaptation?, Can models predict the potential for evolutionary rescue?"
Foundational,General,Understanding the ecological processes driving species distribution and abundances,,,"Model resemble full understanding of the ecological processes driving species distributions/abundances acting at multiple spatial and temporal scales (e.g. Elith & Leathwick 2009; Austin 2009; Bryn et al. 2021; Ulrich et al. 2022), such as environmental filtering, biotic interactions, dispersal, ecological drift, etc.  Predictors do not influence species one by one, but act on the species in concert. A few major complex-gradients normally account for most of the variation in species composition that can be explained environmentally. Species occur within a restricted interval along each major complex-gradient (e.g. Halvorsen 2012).",Working assumptions (Moderate),"Lack of knowledge on the true relationships between variables for field data and the shape of these relationships. There is limited knowledge of the species distribution dynamics (e.g. colonization and local extinction) and these dynamics might not be included in the model.  See Vallecillo et al. 2019, Howard et al. 2020).","Accuracy, Overpredictions","Misidentification of key environmental drivers, Inability to Disentangle Mechanisms, Incorrect range predicitions",Very high,Very high,"Include disturbance processes (i.e. fire regimes) as potential predictors of changes in species distributions (e.g.; Vallecillo et al. 2009)., Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""",1,1,1,0,To what degree are you concerned about how well important biological assumptions are explained and justified?,
"Data quality, relevance and preparation",Species datasets,Species misidentification,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 1B, Hazard 1","""Input data are free of substantial errors regarding taxonomic identification"" (Soley-Guardia et al. 2024, see also Aubry et al. 2017, Maldonado et al. 2015, Araujo et al. 2019).",Fundamental assumptions (High),Older records might be prone to suffer from misidentification,"Accuracy, Overpredictions, Undepredictions","Understimate range expansion, Overstimate range expansion, Understimate range contraction, Distortions or inflations of inferred environmental associations",Very high,Very high,"Implement partial vetting (Soley et al. 2024)., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Remove occurrences without spatial reference., Acknowledge modelers were unable to address this assumption.",1,1,1,0,,"""Are the species taxonomic identities are well understood, stable, and consistently applied?"""
"Data quality, relevance and preparation",Species datasets,Spatial positional error,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 1C, Hazard 1","Input data are free of substantial errors regarding georeference (Soley-Guardia et al. 2024; Araujo et al. (2019). See also Aubry et al. 2017, Maldonado et al. 2015 and positional error see Gábor et al. 2019). Increaisng sample size does not overcome the effect of positional error (Gábor et al. 2019)",Working assumptions (Moderate),"Errors in georeferencing, Older records might be prone to suffer from uncertainty in spatial georeferencing",Accuracy,"Misidentification of key environmental drivers, Erros in model intepretation, Misleading Results for Specialist Species",High,Very high,"Implement partial vetting (Soley et al. 2024)., Remove occurrences without spatial reference., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Acknowledge modelers were unable to address this assumption.",1,1,1,1,,"Do all species react the same way to positional errors?, Can the negative effects of positional error be mitigated by adjusting the spatial resolution (grain size)?, Is the modeling technique robust to handle positional errors?, ""Is the effect of positional uncertainty modulated by the spatial structure of environmental predictors? (e.g. abrupt enevironemntal changes are more sensitive to positional errors)"", Does increasing sample size (number of occurrence points) mitigate the negative influence of positional error?, ""Does the type of positional error (e.g. random noise vs. systematic bias near roads/cities) matter?"", ""How can positional uncertainty be quantified and visualized in model outputs? (e.g. maps of ignorance)."", How does positional error interact with other data quality issues?"
"Data quality, relevance and preparation",Species datasets,Occurrences spatial & temporal resolution,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 1C, Hazard 1",The aasumption is that the spatial and temporal uncertainty are smaller than the resolution of the environmental predictors (Soley-Guardia et al. 2024; https://www.science.org/doi/10.1126/sciadv.aat4858). See also Maldonado et al. 2015 and Seo et al. 2008.,Modulating assumptions (Low),Mismatches in spatiotemporal scales between species and covariates datasets (e.g. Wiens et al. 2010).,Accuracy,"At a very fine resolution (grain) distributions may not match environmental factors closely because behavioral interactions (territoriality social attraction) may override habitat selection, At the coarse resolution of a broad geographic range only the most general environmental relations may emerge in correlational analyses, Overestimation of suitable habitat",High,Very high,"Assess apropiate scale of the analyisis (matching with covariates)., Acknowledge modelers were unable to address this assumption.",1,1,1,1,"How concerned are you about the temporal distribution of detections?, ""If so, explain. What is an appropriate truncation value (i.e. minimum year).""",Is the spatial accuracy of the distributional occurrence data matches the spatial resolution of the environmental predictor variables?
"Data quality, relevance and preparation",Species datasets,Unbiased species data,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 1A, Hazard 2","""Sampling effort has been homogeneous across the study region, so that no bias exists in the conditions inferred to represent the species' environmental associations"" (Soley-Guardia et al. 2024); ""Sampled via systematically designed surveys demonstrated to encompass the major environmental gradients occupied by the taxon, and spatial extent of the taxon’s occurrence, within the study area"" (Araujo et al. 2019). Unbiased species data refers to a non-random distribution of presence data (also known as spacies data clustering). HSMs attempt to quantify the environmental niche of species through models, and therefore the data used to do so need to include all possible environments that represent suitable habitats for the species modeled (Guisan et al. 2017). See also: Dubos et al. (2022), Taylor et al. (2019), Vollering et al. (2019).  ",Fundamental assumptions (High),Bias is likely to arise when the chosen sampling design lacks a random component or when the data are gathered without employing a designed sampling strategy. (Guisan et al. 2017). Species data sets are spatially aggregated in space. Some habitats being preferentially sampled or outside others being left out based on prior knowledge or the observer’s judgment. (Guisan et al. 2017). Unstructure surveys and sample bias coverage (e.g. along roads).,"Accuracy, Overpredictions","Model results often end up mapping the intensity of sampling effort rather than the actual environmental requirements of the species, Inflated statistical significance, Spatial autocorrelation, Misinterpretation of Ecological Processes, Biased Parameter Estimates",Very high,High,"Implement target-group background approach (Barber et al. 2021)., Implement sampling probability approach  (Barber et al. 2021)., Implement weighted locality approach  (Barber et al. 2021)., Implement filtering (or thining ) approach (Moudrý et al 2024; Veloz 2009;  Aiello et al. 2015)., Acknowledge modelers were unable to address this assumption.",1,1,1,1,"Are there areas where you are concerned about potential bias in the data? Identify areas with potential bias in the data., Are there areas where this species is not sufficiently sampled? Identify areas that are not sufficiently sampled., ""To what degree are you concerned about the description and treatment of potential biases in the data, as described in the model metadata?""",Is the available distributional data for the species comprehensively sampled and representative of the regions and environments it currently lives or can potentially live?
