Term,Definition,Some examples,References
Assumptions,"Statements taken as true without proof, often used to simplify complex systems or make predictions.","All relevant predictors are included in model implementation; species occurrence data (presence/absence/abundance) are accurate, representative, and suitable for the model’s purpose",Wiens et al. (2009); Soley-Guardia et al. (2024)
Criteria,"A collection of issues, hazards and assumptions that might affect SDMs predictions accuracy and reliability.","Unbiased species data, predictors are adequate in spatial and temporal resolution, Using default settings in model parametrization, misinterpreting metrics of model performance",Araujo et al. (2019); Soley-Guardia et al. (2024)
Commission errors,Commission errors in species distribution models (SDMs)—also known as false positives—occur when a model predicts a species is present in an area where it actually does not occur. They lead to over-predictions.,"Commission errors can lead to an overestimation of a species' true range, which can result in wasted conservation funds, flawed reserve designs, and a false sense of security regarding a species' vulnerability to climate change or habitat loss.",Velazco et al. (2020); Guisan et al. (2013)
End-users,"It refers to a diverse group of users that use model predictions for different purposes (see model applications). They might have a combination of multiple knowledge/expertise and operational roles/needs/expectations in biodiversity conservation, management, research","Taxonomic experts (birds, amphibians, etc.), field survey experts, managers, researchers, conservation practitioners, etc.",
Explanation (Hypothesis testing),"Explanation investigates the statistical relationships between species distributions and the environment, providing hypotheses (and sometimes testing them) regarding the environmental factors that account for species distributions.","Researchers are interested in testing hypotheses that might explain what specific factors (environmental, biotic, etc.) are limiting species distribution and survival.",Araujo et al. (2019); Elith & Leathwick (2009)
Model,"A simplified representation of an ecological system, often mathematical, used to understand complex systems and predict outcomes.",See Species Distribution Models below for the purpose of this paper,
Modeler,"A modeler is the scientist, spatial analyst, or researcher who designs, builds, evaluates, and interprets the model.","The modeler acts as the critical bridge between raw field data, processes and the model predictions. They are responsible for managing the entire modeling cycle and providing an assessment of the model performance",
Model application,Model application refers to the practical use of model predictions for a wide range of ecological and conservation purposes.,"Spatial prioritization, habitat evaluation, sampling planning, restoration, biological invasions, translocations, climate change, ecosystem and species management.",Guisan et al. (2013); Srivastava et al. (2019); Meller et al. (2014)
Model cycle,"Model cycle (often called the modeling workflow or framework) refers to the structured, step-by-step process researchers use to conceptualize, assemble and prepare data sets, build, test, and refine a model.","Key steps include species and predictors data assemblage and preparation; model building (variable selection, model tuning, algorithm selection, etc.) and assessment (performance metrics, plausibility, etc.)",Zurell et al. (2020)
Model evaluation,"The process of providing feedback to model outputs (predictions and uncertainty), associated metadata (inputs to the model, model building configuration, metrics for interpretation) and quantitative and qualitative information that result from model implementation.","Model evaluation is usually performed by end-users as a way to provide feedback to modelers and have some sense of the potential utility of the model for a variety of applications. So, it is aimed to improve not only model accuracy and reliability but the final utility of the model for multiple applications.",
Model performance outcomes,Model performance outcomes define the specific error types that occur when a model criteria is violated.,These refer to the omission and commission errors that affect accuracy and reliability in model predictions.,Rondinini et al. (2006)
Model type,Entry level operational categories that describe the general purpose of the model.,"Explanation, prediction (spatially explicit and nonspatial), and projection",Araujo et al. (2019)
Predictions (Non-spatially explicit),Models that rely on predictions from a fitted SDM but do not require those predictions to be spatially-explicit or are insensitive to the spatial distribution of the predictions.,Estimating population size or area of core habitat from a prediction surface,
Omission errors,"Omission errors occur when a model fails to predict a species in known presence areas, resulting in false negatives. They lead to under-predictions.","A rare species occurred in a remote mountain, but because all records used to train the model came from surveys in accessible areas via roads, the model fails to predict the species in that mountain area.",Platts et al. (2014)
Projection (Extrapolation),Projection extends SDMs to estimate suitable areas in the past or future and/or in different regions,,Araujo et al. (2019)
Risk level,"End-users must decide whether an omission error (a false negative) or a commission error (a false positive) carries a heavier consequence for their specific conservation goal. The ""risk level"" (very high to low) dictates which type of error the end-user is willing to tolerate.","For instance, systematic commission errors might be a very high level risk because it can result in the misallocation of limited economic resources and conservation efforts towards low-value regions.",
Predictions (spatially explicit),Prediction uses modeled species-environment relationships to map potential distributions in the same time period and geographical region.,,Araujo et al. (2019)
Species distribution models (SDMs),"SDMs are algorithms that relate species occurrence or abundance data to environmental variables to make spatially explicit predictions of species distribution, habitat, or density.","Common examples include MaxEnt (Maximum Entropy Modeling), Boosted regression trees (BRTs), Generalized Linear Models (GLMs), etc.",Elith & leathwick (2009); Gobeyn et al. (2019)
